name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1998
	MinorityInterest,"68,000,000","79,000,000","100,000,000","126,000,000","98,000,000","94,000,000","100,000,000","28,000,000","34,000,000","34,000,000","11,000,000","12,000,000","9,000,000","11,000,000","8,000,000","4,620,000","4,620,000","4,620,000","4,620,000","4,620,000","4,620,000","644,000","0",,
TotalCapitalization,"21,273,000,000","20,047,000,000","20,421,000,000","18,414,000,000","14,420,000,000","11,229,000,000","10,892,000,000","10,836,000,000","9,296,000,000","8,284,000,000","7,484,000,000","6,917,000,000","5,868,000,000","5,205,000,000","3,526,000,000","1,946,742,000","3,177,131,000","2,594,027,000","1,398,637,000","1,204,521,000","928,295,000","1,103,513,000","686,726,000","545,400,000","339,667,000"
CommonStockEquity,"6,929,000,000","6,298,000,000","7,312,000,000","6,391,000,000","5,893,000,000","5,395,000,000","5,468,000,000","5,656,000,000","6,028,000,000","6,790,000,000","7,484,000,000","6,917,000,000","5,868,000,000","5,205,000,000","3,504,000,000","1,927,355,000","3,027,307,000","2,364,359,000","1,169,148,000","974,952,000","698,721,000","1,023,406,000","606,661,000","462,408,000","257,248,000"
CapitalLeaseObligations,,,,,,,,,,,,,,,,,,,,,,,,"0",
NetTangibleAssets,"-4,817,000,000","-5,083,000,000","-4,021,000,000","-322,000,000","455,000,000","1,500,000,000","1,313,000,000","3,178,000,000","3,334,000,000","4,554,000,000","5,690,000,000","5,153,000,000","4,189,000,000","3,998,000,000","2,780,000,000","1,235,080,000","2,466,923,000","1,875,973,000","698,593,000","428,314,000","183,210,000","584,762,000","515,407,000","462,408,000","257,248,000"
WorkingCapital,"2,697,000,000","2,435,000,000","3,787,000,000","7,266,000,000","4,998,000,000","4,578,000,000","5,004,000,000","6,022,000,000","4,715,000,000","4,775,000,000","4,918,000,000","4,451,000,000","3,524,000,000","3,311,000,000","1,836,000,000","1,321,056,000","2,228,399,000","1,765,639,000","671,195,000","601,434,000","420,992,000","525,894,000","467,992,000",,
InvestedCapital,"22,610,000,000","20,321,000,000","21,213,000,000","19,063,000,000","14,420,000,000","11,729,000,000","10,892,000,000","10,836,000,000","9,296,000,000","8,284,000,000","7,484,000,000","6,917,000,000","5,868,000,000","5,205,000,000","3,526,000,000","2,096,122,000","3,257,131,000","2,594,027,000","1,398,637,000","1,204,521,000","928,295,000","1,103,513,000","696,257,000","545,400,000","339,667,000"
TangibleBookValue,"-4,817,000,000","-5,083,000,000","-4,021,000,000","-322,000,000","455,000,000","1,500,000,000","1,313,000,000","3,178,000,000","3,334,000,000","4,554,000,000","5,690,000,000","5,153,000,000","4,189,000,000","3,998,000,000","2,780,000,000","1,235,080,000","2,466,923,000","1,875,973,000","698,593,000","428,314,000","183,210,000","584,762,000","515,407,000","462,408,000","257,248,000"
TotalDebt,"15,681,000,000","14,023,000,000","13,901,000,000","12,672,000,000","8,527,000,000","6,334,000,000","5,424,000,000","5,180,000,000","3,268,000,000","1,494,000,000",,,,,"22,000,000","168,767,000","229,824,000","229,668,000","229,489,000","229,569,000","229,574,000","80,107,000","89,596,000","82,992,000","82,419,000"
NetDebt,"7,093,000,000","7,015,000,000","6,480,000,000","2,559,000,000","1,539,000,000",,,,,,,,,,,,,,,,,,,"82,992,000","82,419,000"
ShareIssued,"1,409,000,000","1,407,000,000","1,405,000,000","1,404,454,904","1,402,414,514","1,399,000,000","1,396,000,000","1,393,000,000","1,391,000,000","1,389,570,548","1,795,041,810","1,384,437,430","1,380,170,680","1,376,391,980","1,365,116,860","1,358,608,080","1,312,719,830","1,349,709,900","1,349,709,010","1,349,709,010","1,349,709,010","1,349,709,010","1,349,709,010","1,349,709,010","1,349,709,010"
OrdinarySharesNumber,"934,000,000","956,000,000","980,000,000","995,454,904","1,007,414,514","1,031,000,000","1,054,000,000","1,081,000,000","1,116,000,000","1,152,561,805","1,602,339,070","1,232,439,150","1,268,637,350","1,308,986,080","1,297,710,960","1,291,202,180","1,312,719,830","1,349,709,900","1,349,709,010","1,349,709,010","1,349,709,010","1,349,709,010","1,349,709,010","1,349,709,010","1,349,709,010"
TreasurySharesNumber,"475,000,000","451,000,000","425,000,000","409,000,000","395,000,000","368,000,000","342,000,000","312,000,000","275,000,000","237,008,743","192,702,740","151,998,280","111,533,330","67,405,900","67,405,900","67,405,900",,,,,,,,,
