name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987
			CurrentAccruedExpenses,"349,000,000","321,000,000","378,000,000","434,000,000","493,000,000","69,000,000","4,451,000,000","3,749,000,000","3,132,000,000","2,371,000,000","2,259,000,000","2,734,000,000","3,132,000,000","3,597,000,000","3,407,000,000","3,780,000,000","3,919,000,000","3,663,000,000","3,870,000,000","4,233,000,000","4,010,000,000","4,020,000,000","4,064,000,000","3,067,000,000",,,,,,,,,,,,,
				InterestPayable,"349,000,000","321,000,000","378,000,000","434,000,000","493,000,000","69,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"1,291,000,000","1,425,000,000","1,375,000,000","1,412,000,000","1,457,000,000","848,000,000","909,000,000","862,000,000","951,000,000","939,000,000","782,000,000","893,000,000","829,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"3,281,000,000","4,400,000,000","5,117,000,000","2,504,000,000","3,479,000,000","1,703,000,000","987,000,000","992,000,000","139,000,000","590,000,000","359,000,000","826,000,000","115,000,000","117,000,000","231,000,000","154,000,000","1,891,000,000","187,000,000","231,000,000","1,883,000,000","232,000,000","1,379,000,000","174,000,000","162,000,000","432,000,000","482,000,000","543,000,000","513,000,000","575,000,000","725,000,000","177,000,000","375,000,000","553,000,000","397,000,000","281,000,000","679,000,000","415,000,000"
			CurrentDebt,"3,119,000,000","4,264,000,000","4,948,000,000","2,340,000,000","3,346,000,000","1,703,000,000","987,000,000","992,000,000","139,000,000","590,000,000","359,000,000","826,000,000","115,000,000","117,000,000","231,000,000","154,000,000","1,891,000,000","187,000,000","231,000,000","1,883,000,000","232,000,000","1,379,000,000","174,000,000","162,000,000","432,000,000","482,000,000","543,000,000","513,000,000","575,000,000","725,000,000","177,000,000","375,000,000","553,000,000","397,000,000","281,000,000","679,000,000","415,000,000"
				CommercialPaper,,,,,,,"299,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LineOfCredit,,,,,,,,"243,000,000","139,000,000",,"359,000,000","162,000,000","113,000,000",,,,,,,,,,,,,,,,,,,,,,,,
				OtherCurrentBorrowings,"3,119,000,000","4,264,000,000","4,948,000,000","2,340,000,000","3,346,000,000","1,703,000,000","688,000,000","992,000,000",,,,"664,000,000","2,000,000",,,,,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"162,000,000","136,000,000","169,000,000","164,000,000","133,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,,,,,,"172,000,000","83,000,000","762,000,000","1,003,000,000","1,167,000,000","756,000,000","825,000,000","337,000,000","402,000,000","237,000,000","277,000,000","447,000,000","411,000,000","125,000,000","32,000,000","76,000,000","470,000,000","2,026,000,000",,,,,,,,,,,,,,
