name,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
		NonCurrentNoteReceivables,,,,,,,"344,000,000","451,000,000","451,000,000","534,000,000","503,000,000","345,000,000","136,000,000",,,,,"27,067,000","0"
		NonCurrentDeferredAssets,"11,361,000,000","15,494,000,000","14,475,000,000","11,041,000,000","7,590,000,000","2,814,000,000","2,370,000,000","1,152,000,000","178,000,000","306,000,000","210,000,000","176,000,000","161,000,000","150,056,000","101,332,000","73,165,000","310,025,000","260,311,000","216,863,000"
			NonCurrentDeferredTaxesAssets,"11,361,000,000","15,494,000,000","14,475,000,000","11,041,000,000","7,590,000,000","2,533,000,000","2,182,000,000","1,038,000,000","30,000,000","157,000,000","66,000,000","52,000,000","43,000,000",,"101,332,000","73,165,000","310,025,000","260,311,000","211,875,000"
		NonCurrentPrepaidAssets,,,,"12,053,000,000","12,020,000,000","7,643,000,000","5,933,000,000","4,071,000,000","4,542,000,000","2,569,000,000","1,135,000,000","867,000,000","1,089,000,000","153,228,000","74,059,000","32,149,000","10,768,000","27,067,000",
		OtherNonCurrentAssets,"4,396,000,000","5,123,000,000","4,602,000,000","3,298,000,000","3,715,000,000","3,937,000,000","2,438,000,000","954,000,000","666,000,000","676,000,000","101,000,000","108,000,000","80,000,000","104,610,000","45,204,000","31,087,000","45,265,000","39,855,000",
TotalLiabilitiesNetMinorityInterest,"652,230,000,000","630,123,000,000","613,360,000,000","606,584,000,000","433,334,000,000","349,674,000,000","277,685,000,000","182,691,000,000","114,356,000,000","97,363,000,000","70,848,000,000","52,826,000,000","12,827,000,000","7,775,296,000","6,902,075,000","4,438,593,000","3,003,770,000","2,440,388,000","1,899,113,000"
	CurrentLiabilities,"421,507,000,000","385,351,000,000","383,784,000,000","377,358,000,000","241,872,000,000","207,669,000,000","135,810,000,000","93,564,000,000","52,039,000,000","39,672,000,000","37,384,000,000","23,995,000,000","11,751,000,000","6,961,114,000","6,384,609,000","4,097,065,000","2,885,493,000","2,370,194,000","1,861,967,000"
		PayablesAndAccruedExpenses,"227,101,000,000","209,449,000,000","217,878,000,000","195,090,000,000","140,967,000,000","123,070,000,000","88,845,000,000","48,342,000,000","25,749,000,000","18,374,000,000","12,282,000,000","8,457,000,000","4,339,000,000","1,238,132,000","1,801,111,000","864,375,000","709,373,000","520,539,000","645,149,000"
			Payables,"197,470,000,000","180,449,000,000","189,535,000,000","170,219,000,000","124,107,000,000","104,013,000,000","68,067,000,000","35,505,000,000","14,568,000,000","10,120,000,000","7,626,000,000","4,409,000,000","2,837,000,000","875,723,000","1,416,078,000","864,375,000","709,373,000","520,539,000","493,605,000"
				AccountsPayable,,"103,369,000,000","107,205,000,000","94,368,000,000","67,173,000,000","51,958,000,000","40,363,000,000","20,165,000,000","8,328,000,000","5,158,000,000","2,046,000,000","885,000,000","801,000,000","16,430,000","15,981,000","23,907,000","15,576,000","12,883,000","8,698,000"
